unit_id,effect,lat,lon,I_local,lag_z,z,p_perm,cluster,is_treated
BRONX 01,-5.519480519480524,40.814480715853115,-73.91669546645795,-0.09150393175420476,0.29584691199971985,-0.30929486853758814,0.006012024048096192,LH,True
BRONX 02,-10.675324675324678,40.818419812765974,-73.89386777006887,-0.06853063617307424,0.10020679685141545,-0.6838920944124183,0.5551102204408818,ns,True
BRONX 03,-4.461038961038966,40.83017431426171,-73.90078667404259,-0.00877228730671487,0.037747489494294295,-0.23239392670182324,0.8496993987975952,ns,True
BRONX 04,11.448051948051948,40.8328263199881,-73.92069237211818,-0.0028962335189219473,-0.0031362198009302483,0.9234791254308395,0.9859719438877755,ns,True
BRONX 05,-13.601731601731608,40.85299694439249,-73.90622146179537,-0.023794578766044707,0.026541347271387183,-0.89650983134893,0.8817635270541082,ns,True
BRONX 06,-4.411255411255411,40.84790549784514,-73.88833821565393,0.010419503343352378,-0.04554438378181826,-0.22877690898766623,0.8156312625250501,ns,True
BRONX 07,-5.069264069264065,40.87059269708664,-73.88800480955864,0.010617920987116832,-0.03838943615313705,-0.27658444747043187,0.8557114228456913,ns,True
BRONX 08,-3.7099567099567103,40.8816908163922,-73.90218833011245,0.006370914291488884,-0.035827050104296806,-0.17782413770998157,0.8677354709418837,ns,True
BRONX 09,-7.556277056277054,40.829630989762904,-73.86715385185663,-0.005884496832691482,0.012868530548366383,-0.45727807153851757,0.9559118236472945,ns,True
BRONX 10,-3.116883116883116,40.842209428655984,-73.8273452405697,0.02270793546888278,-0.16853845275088883,-0.1347344484195938,0.44288577154308617,ns,True
BRONX 11,-0.03896103896104108,40.854977225425664,-73.86481720417432,-0.0015438428366981746,-0.0173677015533505,0.08889160329913334,0.9378757515030061,ns,True
BRONX 12,-5.6493506493506445,40.88477463720799,-73.85602820159761,0.04284546094289127,-0.13442532781404118,-0.31873056692234386,0.5270541082164328,ns,True
BRONX 26,-0.047619047619047616,40.8977784238414,-73.88220791109617,-0.017950516829635478,-0.20337635224507347,0.08826255674014974,0.3246492985971944,ns,False
BRONX 27,0.0367965367965368,40.854651578326056,-73.8708271441587,-0.0026795203050999574,-0.028386023752621385,0.09439576069024143,0.8657314629258517,ns,False
BRONX 28,0.05627705627705629,40.86747358275403,-73.8094430998493,-0.02031182592480298,-0.21199863742152625,0.09581111544795488,0.33266533066132264,ns,False
BROOKLYN 01,16.2900432900433,40.714078711065035,-73.95130980668402,-0.12731400052984454,-0.09983270973726822,1.2752734135425092,0.5070140280561122,ns,True
BROOKLYN 02,-3.3376623376623513,40.68865851315276,-73.97318820841443,0.011334821723193673,-0.07517699568001301,-0.15077513567368075,0.6693386773547094,ns,True
BROOKLYN 03,-22.45021645021646,40.687091729429085,-73.9430005085908,0.1372165600724926,-0.08913665635768009,-1.5393954146303348,0.4749498997995992,ns,True
BROOKLYN 04,-25.075757575757578,40.69851666317331,-73.91907664803398,-0.0763528889528081,0.04413069501375597,-1.73015378364216,0.7835671342685371,ns,True
BROOKLYN 05,-18.932900432900432,40.67335682608513,-73.88246035384475,-0.0004959397488550579,0.0003862924669763568,-1.2838452500431807,0.9979959919839679,ns,True
BROOKLYN 06,11.227272727272727,40.6764271390426,-73.98547372325244,-0.10703124612412554,-0.11794876833647823,0.9074384381767536,0.5210420841683366,ns,True
BROOKLYN 07,12.735930735930737,40.64968701732563,-74.0038086512294,-0.026942527642619146,-0.026490863686338312,1.0170498010796742,0.9038076152304609,ns,True
