unit_id,lat,lon
BRONX 01,40.814480715853115,-73.91669546645795
BRONX 02,40.818419812765974,-73.89386777006887
BRONX 03,40.83017431426171,-73.90078667404259
BRONX 04,40.8328263199881,-73.92069237211818
BRONX 05,40.85299694439249,-73.90622146179537
BRONX 06,40.84790549784514,-73.88833821565393
BRONX 07,40.870592697086636,-73.88800480955864
BRONX 08,40.8816908163922,-73.90218833011245
BRONX 09,40.829630989762904,-73.86715385185663
BRONX 10,40.842209428655984,-73.8273452405697
BRONX 11,40.854977225425664,-73.86481720417432
BRONX 12,40.88477463720799,-73.85602820159761
BRONX 26,40.8977784238414,-73.88220791109617
BRONX 27,40.854651578326056,-73.8708271441587
BRONX 28,40.86747358275403,-73.8094430998493
BROOKLYN 01,40.714078711065035,-73.95130980668402
BROOKLYN 02,40.68865851315276,-73.97318820841443
BROOKLYN 03,40.687091729429085,-73.9430005085908
BROOKLYN 04,40.69851666317331,-73.91907664803398
BROOKLYN 05,40.67335682608513,-73.88246035384475
BROOKLYN 06,40.6764271390426,-73.98547372325244
BROOKLYN 07,40.64968701732563,-74.0038086512294
BROOKLYN 08,40.6742665808406,-73.9516026235024
BROOKLYN 09,40.66333579584369,-73.94937590434286
BROOKLYN 10,40.628246760383774,-74.02303662242083
BROOKLYN 11,40.60676809536288,-73.99206251824626
BROOKLYN 12,40.640677684074134,-73.97858926652543
BROOKLYN 13,40.578410248799706,-73.9661611073665
BROOKLYN 14,40.64060179977588,-73.96101535746612
BROOKLYN 15,40.59326974931518,-73.95376517680307
BROOKLYN 16,40.67430983756185,-73.9131554507116
BROOKLYN 17,40.65124276679489,-73.94252406388861
BROOKLYN 18,40.627873872276936,-73.91654079144995
BROOKLYN 55,40.67183456561807,-73.96698914733341
MANHATTAN 01,40.711091917442346,-74.00841224190474
MANHATTAN 02,40.73152268380496,-74.00203852250158
MANHATTAN 03,40.7239350741695,-73.98613066152801
MANHATTAN 04,40.75904274618881,-73.99476901280894
MANHATTAN 05,40.74763937625523,-73.98525434217103
MANHATTAN 06,40.744079572782105,-73.97827478678352
MANHATTAN 07,40.79169289925293,-73.97156679562453
MANHATTAN 08,40.775248888040856,-73.95325933716485
MANHATTAN 09,40.82406786635311,-73.94917271953149
MANHATTAN 10,40.80788927383866,-73.94769526341082
MANHATTAN 11,40.80143454654757,-73.93443230896085
MANHATTAN 12,40.851791675866586,-73.93280721944058
MANHATTAN 64,40.77863290127972,-73.96254609596876
QUEENS 01,40.767582291126615,-73.91777406556363
QUEENS 02,40.74343583870552,-73.91692225104504
QUEENS 03,40.7545772153354,-73.87867926744832
QUEENS 04,40.74181341739548,-73.87199724801943
QUEENS 05,40.70623103849574,-73.90112616150243
QUEENS 06,40.72722573398393,-73.85475882110627
QUEENS 07,40.76518223327899,-73.82084536673104
QUEENS 08,40.720569474803916,-73.81260977861308
QUEENS 09,40.69227201126536,-73.83975290824937
QUEENS 10,40.67672846734959,-73.83080416272205
QUEENS 11,40.76118458384185,-73.77401445721297
QUEENS 12,40.695243574021994,-73.78689539461487
QUEENS 13,40.70259358946908,-73.73903156452147
QUEENS 14,40.59599553669944,-73.76395297167525
QUEENS 81,40.74739854103399,-73.84485615515032
QUEENS 82,40.70155281482137,-73.85356553888363
QUEENS 83,40.64832048620134,-73.78828125130184
QUEENS 84,40.567765716378844,-73.87338725171142
STATEN ISLAND 01,40.6298902964034,-74.11243872322223
STATEN ISLAND 02,40.59201886098296,-74.10346755195457
STATEN ISLAND 03,40.550331205197246,-74.17069780433157
STATEN ISLAND 95,40.572196982498724,-74.08782263208587
Unspecified BRONX,40.824660137923765,-73.88295828401812
Unspecified BROOKLYN,40.638540596397675,-73.98637295227087
Unspecified MANHATTAN,40.773124899979244,-73.95667505262564
Unspecified QUEENS,40.712557502146794,-73.86861288807984
