unique_key,created_date,complaint_type,descriptor,borough,community_district,resolution_description,latitude,longitude
53130119,2022-01-21,Rodent,Rat Sighting,BRONX,BRONX 08,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.895778330135926,-73.89690251115995
53129379,2022-01-21,Rodent,Mouse Sighting,BRONX,BRONX 09,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.83313897608585,-73.84751032830717
53134812,2022-01-21,Rodent,Rat Sighting,BRONX,BRONX 02,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.818312144709616,-73.88557696285913
53126313,2022-01-21,Rodent,Rat Sighting,BRONX,BRONX 06,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.85218723875089,-73.89403132200935
53130221,2022-01-21,Rodent,Signs of Rodents,BRONX,BRONX 07,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.86411973306651,-73.88953649848891
53132265,2022-01-21,Rodent,Rat Sighting,BRONX,BRONX 06,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.8484729457769,-73.89627461743261
53145459,2022-01-22,Rodent,Rat Sighting,BRONX,BRONX 05,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.84960224583468,-73.91828917308378
53137141,2022-01-22,Rodent,Rat Sighting,BRONX,BRONX 12,An inspection of the property was conducted and it passed with minor violations found.,40.87481327581003,-73.85283504588865
53145350,2022-01-22,Rodent,Rat Sighting,BRONX,BRONX 08,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.88416697926976,-73.89243974227318
53140591,2022-01-22,Rodent,Rat Sighting,BRONX,BRONX 08,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.88416697926976,-73.89243974227318
53144079,2022-01-22,Rodent,Rat Sighting,BRONX,BRONX 05,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.84808343203669,-73.9061644501481
53140592,2022-01-22,Rodent,Rat Sighting,BRONX,BRONX 09,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.83473559780728,-73.85985850236919
53142955,2022-01-22,Rodent,Condition Attracting Rodents,BRONX,BRONX 12,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.88232477825815,-73.85884686939858
53139485,2022-01-22,Rodent,Rat Sighting,BRONX,BRONX 12,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.88589115438665,-73.85968556767038
