unique_key,created_date,complaint_type,descriptor,borough,community_district,resolution_description,latitude,longitude
52966045,2022-01-04,Rodent,Rat Sighting,QUEENS,QUEENS 02,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.746093150327205,-73.90418965073997
52964746,2022-01-04,Rodent,Rat Sighting,QUEENS,QUEENS 05,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.70734654799645,-73.90898835085459
52967410,2022-01-04,Rodent,Rat Sighting,QUEENS,QUEENS 08,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.7208248532274,-73.80437165611815
52978001,2022-01-05,Rodent,Rat Sighting,QUEENS,QUEENS 07,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.76072426134869,-73.83332015700246
52971309,2022-01-05,Rodent,Rat Sighting,QUEENS,QUEENS 01,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.752389481218,-73.92641743061643
52972286,2022-01-05,Rodent,Rat Sighting,QUEENS,QUEENS 02,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.734466454218186,-73.91855665454072
52972281,2022-01-05,Rodent,Mouse Sighting,QUEENS,QUEENS 07,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.75918288729288,-73.82306535085371
52975590,2022-01-05,Rodent,Rat Sighting,QUEENS,QUEENS 02,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.744472967353154,-73.9212727209168
52976779,2022-01-05,Rodent,Rat Sighting,QUEENS,QUEENS 12,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.6868782257851,-73.76783679762413
52979033,2022-01-05,Rodent,Rat Sighting,QUEENS,QUEENS 02,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.73760561721909,-73.92979326016298
52974623,2022-01-05,Rodent,Mouse Sighting,QUEENS,QUEENS 14,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.5982394489071,-73.74902025301073
52971340,2022-01-05,Rodent,Signs of Rodents,QUEENS,QUEENS 01,The Department of Health and Mental Hygiene closed this complaint and referred it to another agency because it was not within its jurisdiction.,40.77549506543774,-73.93619090966268
52974626,2022-01-05,Rodent,Rat Sighting,QUEENS,QUEENS 07,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.76898016802758,-73.83123446333894
52973340,2022-01-05,Rodent,Rat Sighting,QUEENS,QUEENS 05,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.705317724041386,-73.91194864883458
52974483,2022-01-05,Rodent,Rat Sighting,QUEENS,QUEENS 06,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.718959052796194,-73.83839932779088
52973433,2022-01-05,Rodent,Signs of Rodents,QUEENS,QUEENS 11,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.76793962878603,-73.77627993656752
52974600,2022-01-05,Rodent,Rat Sighting,QUEENS,QUEENS 01,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.75253611024583,-73.93768549494766
52974494,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 13,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.71395658188476,-73.73890274441155
52985542,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 03,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.75150062566232,-73.88367054656703
52987458,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 05,,40.70168398155364,-73.90884460643531
52985428,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 05,,40.70281115977413,-73.9076889512263
52985365,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 05,,40.70371343990915,-73.90676079150268
52984669,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 05,,40.704848834157794,-73.90560866092983
52983676,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 05,,40.70060889413824,-73.90993884195109
52986197,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 05,,40.70255798092736,-73.91032572080242
