unique_key,created_date,complaint_type,descriptor,borough,community_district,resolution_description,latitude,longitude
59891997,2024-01-01,Rodent,Mouse Sighting,QUEENS,QUEENS 05,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.700194714369054,-73.8941430856223
59894618,2024-01-01,Rodent,Rat Sighting,QUEENS,QUEENS 10,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.681929960613495,-73.82206969814543
59897136,2024-01-01,Rodent,Condition Attracting Rodents,QUEENS,QUEENS 08,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.7234641275739,-73.8118932421318
59900651,2024-01-01,Rodent,Condition Attracting Rodents,QUEENS,QUEENS 08,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.72349414886383,-73.81178853317485
59898056,2024-01-01,Rodent,Rat Sighting,QUEENS,QUEENS 02,The Department of Health and Mental Hygiene closed this complaint and referred it to another agency because it was not within its jurisdiction.,40.742940939039926,-73.91672025343033
59899846,2024-01-01,Rodent,Condition Attracting Rodents,QUEENS,QUEENS 03,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.76480664313564,-73.88589992366258
59897145,2024-01-01,Rodent,Signs of Rodents,QUEENS,QUEENS 12,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",40.70347569158946,-73.79988540320485
59898055,2024-01-01,Rodent,Rat Sighting,QUEENS,QUEENS 01,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.75793866277932,-73.92533564258659
59899847,2024-01-01,Rodent,Rat Sighting,QUEENS,QUEENS 06,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.73186167240458,-73.84811012906401
59895461,2024-01-01,Rodent,Rat Sighting,QUEENS,QUEENS 06,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.7317578282523,-73.84845675068401
59898050,2024-01-01,Rodent,Mouse Sighting,QUEENS,QUEENS 03,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.75925738107615,-73.87844825469696
59894615,2024-01-01,Rodent,Rat Sighting,QUEENS,QUEENS 11,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.75816513631129,-73.78033387498947
59898054,2024-01-01,Rodent,Rat Sighting,QUEENS,QUEENS 02,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.75051461929111,-73.90714643566244
